,hc_specificity,dev_peak,aging_decline,conservation,gwas,sgn_specificity,score,TPS_FINAL
PTRH1,0.16052341056376732,0.9187264686320248,0.9688622520136712,0.5,0.0,0.4308207,0.3686754766756471,0.46339579469758585
P2RX5,0.0,0.9618983577519954,0.9002057613849784,0.5,0.0,0.67493075,0.4015180869653625,0.46239668575814585
GRXCR1,0.28782983038021104,0.540382878303511,0.305748479277483,0.5,1.0,0.3592197,0.351723369795398,0.46213173666638796
HSBP1L1,0.0,0.9724621219009232,0.930869231374033,0.5,0.0,0.62761325,0.3934830452336701,0.4596454590862896
GDPD4,0.3352769849973866,0.797210224231759,0.8834453374994857,0.5,0.0,0.3351615,0.3232958741180141,0.4595742409704907
SLC34A3,0.05933717204578027,0.8736023373712845,0.8567493923638708,0.5,0.0,0.6809407,0.3826289250305567,0.45722216794257153
TPRN,0.0,0.4514875621330212,0.9104730157751808,0.5,1.0,0.3979833,0.4349420745329365,0.45646512479288137
TJP2,0.0,0.7204437847852815,0.3057480633490298,0.5,1.0,0.5817982,0.412065557004769,0.4563106064594108
CHRNA9,0.4784625002848128,0.7475969137421625,0.8661910966904391,0.5,0.0,0.1664866,0.287969418966316,0.45628411733744223
PCDHA9,0.0,1.0,0.7353256724576788,0.5,0.0,0.7285144,0.3905364136629002,0.45600173086865187
RSPH1,0.2097779584513007,0.6324316538475389,0.955742016772232,0.5,0.0,0.6065737,0.3501320739841715,0.4540957608207328
TMEM151B,0.0,0.9821676993645796,0.8572484531959939,0.5,0.0,0.6434718,0.3931855861542258,0.45371516785231497
ADAD1,0.459932552303045,0.6264340760001774,0.9070044693845628,0.5,0.0,0.27014753,0.2914657728906674,0.45334675729863344
KCNH6,0.38521777653425926,0.5951117658065366,0.8822819967637866,0.5,0.0,0.43202043,0.3073353720766386,0.4533340716361531
MMRN2,0.001959628211719055,0.9982412876098464,0.8730880132628327,0.5,0.0,0.6094668,0.3930353168651967,0.4530927079749099
PLIN5,0.15521640045676807,0.8781452810527067,0.8407684049030101,0.5,0.0,0.513421,0.3557653944377481,0.4509934370830233
SOX2,0.0,0.7646209023759681,0.5152699917219904,0.5,1.0,0.35112172,0.4156141849877014,0.45043902323349216
KEL,0.0,0.926706537470186,0.9099364463560946,0.5,0.0,0.63289356,0.4094521237231996,0.4484104864474514
WHRN,0.0,0.8020192380563046,0.3057480633490282,0.5,1.0,0.4571167,0.4056134543904078,0.4476893971136152
CDH23,0.11317655907421312,0.5918867484108429,0.3057484792774835,0.5,1.0,0.49213797,0.3793769537999038,0.446620183296055
SLC25A48,0.18429452390567264,0.9832298708752434,0.7989551319930874,0.5,0.0,0.37161306,0.3439815244317088,0.4461002131457136
GJB6,7.112768451682774e-05,0.8669959622240088,0.3057480633490275,0.5,1.0,0.38096598,0.4040704549568327,0.4454759362525109
MARCH10,0.22528060258987992,0.9159211073995376,0.850974463991279,0.5,0.0,0.3351615,0.3362250974160968,0.44544687185556336
REEP6,0.0,0.7587662146177586,0.8618116257834393,0.5,0.0,0.81591445,0.3864245623328534,0.4442078767910676
TMC2,0.29194344300433006,0.9826692022858082,0.6331222725229656,0.5,0.0,0.31390607,0.3295642575639312,0.44186642823690553
CIB2,0.01931450208911198,0.6298957925765343,0.3565973117372213,0.5,1.0,0.52943856,0.398234406875845,0.44115081790262367
SMPX,0.19098891256270706,0.4151408287639961,0.3057479593669147,0.5,1.0,0.52460986,0.3577425114732787,0.44110900542664855
CST6,0.0,0.8650544740576829,0.9242193013761056,0.5,0.0,0.646545,0.386325627945009,0.4409527900179524
ECSCR,2.3464526896339745e-05,0.91821323694727,0.8967107708364477,0.5,0.0,0.60818136,0.384119425261298,0.43979257437299013
CLIC5,0.13877412806358286,0.4931413337571236,0.3057485832595984,0.5,1.0,0.5177428,0.3684127277822544,0.43967135265943935
STMN4,0.0,0.9967324695173788,0.8937183959917137,0.5,0.0,0.527642,0.3836392034771714,0.43893265330223286
LIN7B,0.0,0.9644988903986336,0.8585787716543871,0.5,0.0,0.5843464,0.3820607415741759,0.43855587382788486
PKP1,2.687888670151228e-06,0.9648536233357102,0.8378094873433989,0.5,0.0,0.5989888,0.4110115912079143,0.4384407141352529
TMPRSS9,0.0,0.9766805587508416,0.8178831000095135,0.5,0.0,0.6020967,0.3804527113643413,0.4384379167515954
BANK1,0.0,0.9714736173402616,0.7760877948192877,0.5,0.0,0.63726836,0.3786094100899092,0.43816156469094547
TTC29,0.2517630957665486,0.7774906464256998,0.9301348875699176,0.5,0.0,0.3351615,0.3273350785780862,0.4375795911505922
FGF5,0.45983246914524056,0.6132672883324408,0.4522274445475054,0.5,0.0,0.5452663,0.367609251608078,0.43749057509218614
TAGLN3,0.0,0.997415086651156,0.9104574588709292,0.5,0.0,0.5046489,0.3828405998421732,0.43698141616087055
CABP1,0.37500005854235363,0.7323323354425334,0.3128540186456394,0.5,0.0,0.65175754,0.2754632278966133,0.4362460954480587
TCTEX1D1,0.3516127002785689,0.6050471282438529,0.3803493645912198,0.5,0.0,0.75901395,0.2825811297616653,0.4353484304210242
ACAP1,0.0007937185117718804,0.8977216403818861,0.8405185600383472,0.5,0.0,0.64731896,0.3785640262308535,0.43532401963566086
SNRNP25,0.015640295315834944,0.7870638407444556,0.9292050648261618,0.5,0.0,0.6683593,0.3786613255253348,0.43515747646756586
PLN,0.003100916969821087,0.9896041343093376,0.9319604779859364,0.5,0.0,0.47807217,0.3808822677068124,0.43425960765070437
KCNJ12,0.0,0.8974554835377625,0.923484635308841,0.5,0.0,0.5808402,0.3811857906706415,0.4341818320038786
LRMP,0.03424098235355733,0.8087074873845483,0.8863577201401235,0.5,0.0,0.64534134,0.3719811502018667,0.43403571820399545
TLR6,0.0,0.9940213977602274,0.9390186505285356,0.5,0.0,0.47070906,0.3815059203179298,0.4337988891313258
CDKN2B,0.0004797417430896098,0.986759430989438,0.7353249972775112,0.5,0.0,0.6270535,0.373322686417012,0.43320525831244117
SLC4A1,0.0010811498913496462,0.8910147257709159,0.9358054322962572,0.5,0.0,0.5655038,0.3798028952756478,0.4319988649660267
PRMT8,0.0,0.9645956461797384,0.9713044078736938,0.5,0.0,0.46641278,0.3812869859109193,0.4318973464170017
IL21R,0.0051815592456573726,0.9396326456937604,0.9407376507769228,0.5,0.0,0.5055824,0.3788427342910205,0.4317081245289877
DLK2,0.1672890296143345,0.6622619314794282,0.90256674321788,0.5,0.0,0.5665992,0.3406384313102872,0.431343946662868
HIST1H2BJ,0.0,1.0,0.8435797383031945,0.5,0.0,0.52307487,0.3759560240397007,0.4311519347454792
